,Group,Dist
2,Cactus Virus X Variant A,99.701
3,Cactus Virus X Variant A,97.301
4,Cactus Virus X Variant A,98.001
5,Cactus Virus X Variant A,96.001
6,Cactus Virus X Variant A,95.601
7,Cactus Virus X Variant A,95.601
8,Cactus Virus X Variant A,95.601
9,Cactus Virus X Variant A,95.701
10,Cactus Virus X Variant A,94.801
11,Cactus Virus X Variant A,96.201
12,Cactus Virus X Variant A,95.901
13,Cactus Virus X Variant A,94.301
14,Cactus Virus X Variant A,95.501
15,Cactus Virus X Variant A,96.301
16,Cactus Virus X Variant A,95.901
17,Cactus Virus X Variant A,95.901
18,Cactus Virus X Variant A,95.901
19,Cactus Virus X Variant A,95.901
20,Cactus Virus X Variant A,95.301
21,Cactus Virus X Variant A,95.201
22,Cactus Virus X Variant A,96.001
23,Cactus Virus X Variant A,95.601
24,Cactus Virus X Variant A,94.901
25,Cactus Virus X Variant A,96.001
26,Cactus Virus X Variant A,94.901
27,Cactus Virus X Variant A,97.301
28,Cactus Virus X Variant A,98.001
29,Cactus Virus X Variant A,96.001
30,Cactus Virus X Variant A,95.601
31,Cactus Virus X Variant A,95.601
32,Cactus Virus X Variant A,95.601
33,Cactus Virus X Variant A,95.701
34,Cactus Virus X Variant A,94.801
35,Cactus Virus X Variant A,96.201
36,Cactus Virus X Variant A,95.901
37,Cactus Virus X Variant A,94.401
38,Cactus Virus X Variant A,95.401
39,Cactus Virus X Variant A,96.201
40,Cactus Virus X Variant A,95.901
41,Cactus Virus X Variant A,95.901
42,Cactus Virus X Variant A,95.901
43,Cactus Virus X Variant A,95.801
44,Cactus Virus X Variant A,95.301
45,Cactus Virus X Variant A,95.201
46,Cactus Virus X Variant A,96.001
47,Cactus Virus X Variant A,95.601
48,Cactus Virus X Variant A,94.801
49,Cactus Virus X Variant A,96.001
50,Cactus Virus X Variant A,94.901
51,Cactus Virus X Variant A,96.801
52,Cactus Virus X Variant A,94.801
53,Cactus Virus X Variant A,94.401
54,Cactus Virus X Variant A,94.401
55,Cactus Virus X Variant A,94.501
56,Cactus Virus X Variant A,94.501
57,Cactus Virus X Variant A,93.801
58,Cactus Virus X Variant A,95.401
59,Cactus Virus X Variant A,94.701
60,Cactus Virus X Variant A,93.501
61,Cactus Virus X Variant A,94.001
62,Cactus Virus X Variant A,95.101
63,Cactus Virus X Variant A,94.701
64,Cactus Virus X Variant A,94.701
65,Cactus Virus X Variant A,94.701
66,Cactus Virus X Variant A,94.701
67,Cactus Virus X Variant A,94.401
68,Cactus Virus X Variant A,94.301
69,Cactus Virus X Variant A,94.701
70,Cactus Virus X Variant A,94.601
71,Cactus Virus X Variant A,93.901
72,Cactus Virus X Variant A,94.901
73,Cactus Virus X Variant A,94.001
74,Cactus Virus X Variant A,95.801
75,Cactus Virus X Variant A,95.401
76,Cactus Virus X Variant A,95.301
77,Cactus Virus X Variant A,95.401
78,Cactus Virus X Variant A,95.401
79,Cactus Virus X Variant A,94.601
80,Cactus Virus X Variant A,96.001
81,Cactus Virus X Variant A,95.801
82,Cactus Virus X Variant A,94.301
83,Cactus Virus X Variant A,95.201
84,Cactus Virus X Variant A,95.901
85,Cactus Virus X Variant A,95.701
86,Cactus Virus X Variant A,95.701
87,Cactus Virus X Variant A,95.801
88,Cactus Virus X Variant A,95.701
89,Cactus Virus X Variant A,95.101
90,Cactus Virus X Variant A,95.001
91,Cactus Virus X Variant A,95.701
92,Cactus Virus X Variant A,95.401
93,Cactus Virus X Variant A,94.601
94,Cactus Virus X Variant A,95.701
95,Cactus Virus X Variant A,94.601
96,Cactus Virus X Variant A,98.301
97,Cactus Virus X Variant A,98.201
98,Cactus Virus X Variant A,98.201
99,Cactus Virus X Variant A,98.301
100,Cactus Virus X Variant A,96.801
101,Cactus Virus X Variant A,96.901
102,Cactus Virus X Variant A,96.701
103,Cactus Virus X Variant A,95.201
104,Cactus Virus X Variant A,96.401
105,Cactus Virus X Variant A,97.101
106,Cactus Virus X Variant A,96.901
107,Cactus Virus X Variant A,96.701
108,Cactus Virus X Variant A,96.801
109,Cactus Virus X Variant A,96.701
110,Cactus Virus X Variant A,96.301
111,Cactus Virus X Variant A,96.201
112,Cactus Virus X Variant A,97.001
113,Cactus Virus X Variant A,96.601
114,Cactus Virus X Variant A,95.801
115,Cactus Virus X Variant A,96.901
116,Cactus Virus X Variant A,95.801
117,Cactus Virus X Variant A,99.801
118,Cactus Virus X Variant A,98.901
119,Cactus Virus X Variant A,98.901
120,Cactus Virus X Variant A,97.201
121,Cactus Virus X Variant A,96.701
122,Cactus Virus X Variant A,96.401
123,Cactus Virus X Variant A,94.901
124,Cactus Virus X Variant A,96.001
125,Cactus Virus X Variant A,96.801
126,Cactus Virus X Variant A,96.501
127,Cactus Virus X Variant A,96.401
128,Cactus Virus X Variant A,96.401
129,Cactus Virus X Variant A,96.401
130,Cactus Virus X Variant A,95.901
131,Cactus Virus X Variant A,95.801
132,Cactus Virus X Variant A,96.601
133,Cactus Virus X Variant A,96.301
134,Cactus Virus X Variant A,95.501
135,Cactus Virus X Variant A,96.501
136,Cactus Virus X Variant A,95.401
137,Cactus Virus X Variant A,98.901
138,Cactus Virus X Variant A,98.901
139,Cactus Virus X Variant A,97.201
140,Cactus Virus X Variant A,96.701
141,Cactus Virus X Variant A,96.401
142,Cactus Virus X Variant A,94.901
143,Cactus Virus X Variant A,96.001
144,Cactus Virus X Variant A,96.801
145,Cactus Virus X Variant A,96.501
146,Cactus Virus X Variant A,96.401
147,Cactus Virus X Variant A,96.401
148,Cactus Virus X Variant A,96.401
149,Cactus Virus X Variant A,95.901
150,Cactus Virus X Variant A,95.801
151,Cactus Virus X Variant A,96.601
152,Cactus Virus X Variant A,96.301
153,Cactus Virus X Variant A,95.501
154,Cactus Virus X Variant A,96.501
155,Cactus Virus X Variant A,95.401
156,Cactus Virus X Variant A,99.001
157,Cactus Virus X Variant A,97.401
158,Cactus Virus X Variant A,96.701
159,Cactus Virus X Variant A,96.301
160,Cactus Virus X Variant A,95.001
161,Cactus Virus X Variant A,96.001
162,Cactus Virus X Variant A,96.801
163,Cactus Virus X Variant A,96.501
164,Cactus Virus X Variant A,96.401
165,Cactus Virus X Variant A,96.401
166,Cactus Virus X Variant A,96.401
167,Cactus Virus X Variant A,96.001
168,Cactus Virus X Variant A,95.901
169,Cactus Virus X Variant A,96.601
